fuzzer,name,content
fuzz_row,text_multifield_table_0,0503000f000300051f061f01310361616102313103312e3103302e31
fuzz_row,text_multifield_table_1,0503000f000300051f061f013203626262023232fb03302e32
fuzz_text_field,multifield_table_0_0,030031
fuzz_text_field,multifield_table_0_1,0f00616161
fuzz_text_field,multifield_table_0_2,03003131
fuzz_text_field,multifield_table_0_3,051f312e31
fuzz_text_field,multifield_table_0_4,061f302e31
fuzz_text_field,multifield_table_1_0,030032
fuzz_text_field,multifield_table_1_1,0f00626262
fuzz_text_field,multifield_table_1_2,03003232
fuzz_row,text_types_bigint_0,050f000400840004008400036d61781339323233333732303336383534373735383037143138343436373434303733373039353531363135fbfb
fuzz_row,text_types_bigint_1,050f000400840004008400036d696e142d393232333337323033363835343737353830380130fb0730303030303030
fuzz_row,text_types_bigint_2,050f000400840004008400086e65676174697665032d3230fb032d3230fb
fuzz_row,text_types_bigint_3,050f00040084000400840007726567756c61720232300232300232300730303030303230
fuzz_text_field,types_bigint_0_0,0f006d6178
fuzz_text_field,types_bigint_0_1,040039323233333732303336383534373735383037
fuzz_text_field,types_bigint_0_2,84003138343436373434303733373039353531363135
fuzz_text_field,types_bigint_1_0,0f006d696e
fuzz_text_field,types_bigint_1_1,04002d39323233333732303336383534373735383038
fuzz_text_field,types_bigint_1_2,840030
fuzz_text_field,types_bigint_2_0,0f006e65676174697665
fuzz_text_field,types_bigint_2_1,04002d3230
fuzz_text_field,types_bigint_3_0,0f00726567756c6172
fuzz_text_field,types_bigint_3_1,04003230
fuzz_text_field,types_bigint_3_2,84003230
fuzz_text_field,types_bigint_3_3,04003230
fuzz_text_field,types_bigint_3_4,840030303030303230
fuzz_row,text_types_binary_0,070f0010001100130013001300130005656d7074790a000000000000000000000000000000
fuzz_row,text_types_binary_1,070f00100011001300130013001300086e6f6e61736369690a00ff00000000000000000201fe0202fd0203fc0204fb0205fa
fuzz_row,text_types_binary_2,070f0010001100130013001300130007726567756c61720a005f62696e61727900000b005f76617262696e6172790a005f74696e79626c6f6206005f626c6f620c005f6d656469756d626c6f620a005f6c6f6e67626c6f62
fuzz_text_field,types_binary_0_0,0f00656d707479
fuzz_text_field,types_binary_0_1,100000000000000000000000
fuzz_text_field,types_binary_0_2,1100
fuzz_text_field,types_binary_0_3,1300
fuzz_text_field,types_binary_0_4,1300
fuzz_text_field,types_binary_0_5,1300
fuzz_text_field,types_binary_0_6,1300
fuzz_text_field,types_binary_1_0,0f006e6f6e6173636969
fuzz_text_field,types_binary_1_1,100000ff0000000000000000
fuzz_text_field,types_binary_1_2,110001fe
fuzz_text_field,types_binary_1_3,130002fd
fuzz_text_field,types_binary_1_4,130003fc
fuzz_text_field,types_binary_1_5,130004fb
fuzz_text_field,types_binary_1_6,130005fa
fuzz_text_field,types_binary_2_0,0f00726567756c6172
fuzz_text_field,types_binary_2_1,1000005f62696e6172790000
