
Robertson ODE test problem:
    initial conditions:  u0 = 1,  v0 = 0,  w0 = 0
        t           u           v           w
   --------------------------------------------------
   0.000e+00   1.00000e+00   0.00000e+00   0.00000e+00
   1.000e+09   2.08323e-06   8.32676e-12   9.99998e-01
   2.000e+09   1.04164e-06   4.15999e-12   9.99999e-01
   3.000e+09   6.94429e-07   2.79925e-12   9.99999e-01
   4.000e+09   5.20819e-07   2.04568e-12   9.99999e-01
   5.000e+09   4.16663e-07   1.67589e-12   1.00000e+00
   6.000e+09   3.47216e-07   1.38088e-12   1.00000e+00
   7.000e+09   2.97619e-07   1.18461e-12   1.00000e+00
   8.000e+09   2.60418e-07   1.04042e-12   1.00000e+00
   9.000e+09   2.31479e-07   9.43288e-13   1.00000e+00
   1.000e+10   2.08331e-07   8.24029e-13   1.00000e+00
   1.100e+10   1.89394e-07   7.46758e-13   1.00000e+00
   1.200e+10   1.73612e-07   6.94891e-13   1.00000e+00
   1.300e+10   1.60252e-07   6.49283e-13   1.00000e+00
   1.400e+10   1.48811e-07   5.94089e-13   1.00000e+00
   1.500e+10   1.38887e-07   5.70262e-13   1.00000e+00
   1.600e+10   1.30210e-07   5.16806e-13   1.00000e+00
   1.700e+10   1.22545e-07   4.58568e-13   1.00000e+00
   1.800e+10   1.15737e-07   4.57110e-13   1.00000e+00
   1.900e+10   1.09651e-07   4.40546e-13   1.00000e+00
   2.000e+10   1.04166e-07   4.14493e-13   1.00000e+00
   2.100e+10   9.92052e-08   4.09664e-13   1.00000e+00
   2.200e+10   9.46983e-08   3.82358e-13   1.00000e+00
   2.300e+10   9.05799e-08   3.43987e-13   1.00000e+00
   2.400e+10   8.68055e-08   3.36094e-13   1.00000e+00
   2.500e+10   8.33345e-08   3.33250e-13   1.00000e+00
   2.600e+10   8.01278e-08   3.24553e-13   1.00000e+00
   2.700e+10   7.71580e-08   3.20079e-13   1.00000e+00
   2.800e+10   7.44026e-08   3.13812e-13   1.00000e+00
   2.900e+10   7.18392e-08   2.99428e-13   1.00000e+00
   3.000e+10   6.94455e-08   2.71839e-13   1.00000e+00
   3.100e+10   6.72043e-08   2.51612e-13   1.00000e+00
   3.200e+10   6.51035e-08   2.43819e-13   1.00000e+00
   3.300e+10   6.31312e-08   2.42722e-13   1.00000e+00
   3.400e+10   6.12754e-08   2.42584e-13   1.00000e+00
   3.500e+10   5.95243e-08   2.38297e-13   1.00000e+00
   3.600e+10   5.78691e-08   2.29877e-13   1.00000e+00
   3.700e+10   5.63035e-08   2.19436e-13   1.00000e+00
   3.800e+10   5.48213e-08   2.09053e-13   1.00000e+00
   3.900e+10   5.34164e-08   2.00809e-13   1.00000e+00
   4.000e+10   5.20827e-08   1.96786e-13   1.00000e+00
   4.100e+10   5.08138e-08   1.99063e-13   1.00000e+00
   4.200e+10   4.96040e-08   2.07948e-13   1.00000e+00
   4.300e+10   4.84497e-08   2.15392e-13   1.00000e+00
   4.400e+10   4.73479e-08   2.19410e-13   1.00000e+00
   4.500e+10   4.62954e-08   2.19156e-13   1.00000e+00
   4.600e+10   4.52893e-08   2.13788e-13   1.00000e+00
   4.700e+10   4.43263e-08   2.02463e-13   1.00000e+00
   4.800e+10   4.34035e-08   1.84338e-13   1.00000e+00
   4.900e+10   4.25178e-08   1.60111e-13   1.00000e+00
   5.000e+10   4.16666e-08   1.40398e-13   1.00000e+00
   5.100e+10   4.08485e-08   1.26720e-13   1.00000e+00
   5.200e+10   4.00619e-08   1.18280e-13   1.00000e+00
   5.300e+10   3.93053e-08   1.14277e-13   1.00000e+00
   5.400e+10   3.85773e-08   1.13913e-13   1.00000e+00
   5.500e+10   3.78762e-08   1.16387e-13   1.00000e+00
   5.600e+10   3.72006e-08   1.20901e-13   1.00000e+00
   5.700e+10   3.65490e-08   1.26656e-13   1.00000e+00
   5.800e+10   3.59198e-08   1.32851e-13   1.00000e+00
   5.900e+10   3.53116e-08   1.38688e-13   1.00000e+00
   6.000e+10   3.47230e-08   1.43341e-13   1.00000e+00
   6.100e+10   3.41534e-08   1.46349e-13   1.00000e+00
   6.200e+10   3.36021e-08   1.47818e-13   1.00000e+00
   6.300e+10   3.30683e-08   1.47881e-13   1.00000e+00
   6.400e+10   3.25514e-08   1.46671e-13   1.00000e+00
   6.500e+10   3.20506e-08   1.44318e-13   1.00000e+00
   6.600e+10   3.15651e-08   1.40956e-13   1.00000e+00
   6.700e+10   3.10943e-08   1.36717e-13   1.00000e+00
   6.800e+10   3.06375e-08   1.31732e-13   1.00000e+00
   6.900e+10   3.01938e-08   1.26134e-13   1.00000e+00
   7.000e+10   2.97627e-08   1.20055e-13   1.00000e+00
   7.100e+10   2.93434e-08   1.14310e-13   1.00000e+00
   7.200e+10   2.89354e-08   1.09946e-13   1.00000e+00
   7.300e+10   2.85384e-08   1.06807e-13   1.00000e+00
   7.400e+10   2.81521e-08   1.04720e-13   1.00000e+00
   7.500e+10   2.77761e-08   1.03511e-13   1.00000e+00
   7.600e+10   2.74102e-08   1.03008e-13   1.00000e+00
   7.700e+10   2.70539e-08   1.03038e-13   1.00000e+00
   7.800e+10   2.67069e-08   1.03427e-13   1.00000e+00
   7.900e+10   2.63689e-08   1.04003e-13   1.00000e+00
   8.000e+10   2.60395e-08   1.04594e-13   1.00000e+00
   8.100e+10   2.57184e-08   1.05025e-13   1.00000e+00
   8.200e+10   2.54053e-08   1.05125e-13   1.00000e+00
   8.300e+10   2.50998e-08   1.04721e-13   1.00000e+00
   8.400e+10   2.48016e-08   1.03638e-13   1.00000e+00
   8.500e+10   2.45103e-08   1.01705e-13   1.00000e+00
   8.600e+10   2.42256e-08   9.87493e-14   1.00000e+00
   8.700e+10   2.39471e-08   9.48747e-14   1.00000e+00
   8.800e+10   2.36749e-08   9.21258e-14   1.00000e+00
   8.900e+10   2.34087e-08   9.07554e-14   1.00000e+00
   9.000e+10   2.31483e-08   9.05235e-14   1.00000e+00
   9.100e+10   2.28937e-08   9.11904e-14   1.00000e+00
   9.200e+10   2.26446e-08   9.25164e-14   1.00000e+00
   9.300e+10   2.24010e-08   9.42617e-14   1.00000e+00
   9.400e+10   2.21626e-08   9.61864e-14   1.00000e+00
   9.500e+10   2.19293e-08   9.80510e-14   1.00000e+00
   9.600e+10   2.17009e-08   9.96155e-14   1.00000e+00
   9.700e+10   2.14773e-08   1.00640e-13   1.00000e+00
   9.800e+10   2.12583e-08   1.00885e-13   1.00000e+00
   9.900e+10   2.10438e-08   1.00111e-13   1.00000e+00
   1.000e+11   2.08336e-08   9.80782e-14   1.00000e+00
   --------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 873 (attempted = 980)
   Total RHS evals:  Fe = 0,  Fi = 28843
   Total linear solver setups = 338
   Total RHS evals for setting up the linear system = 0
   Total number of Jacobian evaluations = 43
   Total number of Newton iterations = 23942
   Total number of nonlinear solver convergence failures = 0
   Total number of error test failures = 107
