
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  3.629021901461023e-12  7.505751048377368e-09  2.979166031186306e-12  21    5    5
    2  7.505751048377368e-09  1.501150209675474e-07  6.164657920203414e-09  21    5    5
    3  1.501150209675474e-07  3.002300419350948e-06  1.293969127947313e-07  21    5   10
    4  3.002300419350948e-06  6.004600838701896e-05  2.593514282996240e-06  21    5   10
    5  6.004600838701896e-05  2.853822155069504e-04  5.166758334585902e-05  21    5   20
    6  2.853822155069504e-04  2.575259959881400e-04  2.798554542679515e-04  21    5   25
    7  2.575259959881400e-04  4.094548233861796e-04  4.794251765596532e-04  21    5   25
    8  4.094548233861796e-04  4.094548233861796e-04  7.863865837860686e-04  21    5   29
    9  4.094548233861796e-04  6.522930286475272e-04  1.082810355919634e-03  21    5   29
   10  6.522930286475272e-04  5.699101877577966e-04  1.606861594786204e-03  23    5   40
   11  5.699101877577966e-04  1.007840457057906e-03  2.005672441483511e-03  23    5   35
   12  1.007840457057906e-03  1.007840457057906e-03  2.683046459431835e-03  23    5   40
   13  1.007840457057906e-03  8.454000528271813e-04  3.678403481054160e-03  25    5   40
   14  8.454000528271813e-04  1.990435218830378e-03  4.265076936821718e-03  25    5   34
   15  1.990435218830378e-03  1.990435218830378e-03  5.574945959454541e-03  25    5   41
   16  1.990435218830378e-03  3.606553655154849e-03  6.798379766368275e-03  25    5   35
   17  4.980855396285853e-04  4.980855396285853e-04  6.927018828146161e-03  27   15  180
   18  4.980855396285853e-04  4.980855396285853e-04  7.441580402798036e-03  29    5   30
   19  4.980855396285853e-04  1.668133018307288e-03  7.722592473539556e-03  29    5   29
   20  1.668133018307288e-03  3.660004265101941e-03  8.637154192038343e-03  29    5   44
   21  3.660004265101941e-03  7.226949406752795e-03  1.050788196949932e-02  29    5   65
   22  2.276521387614356e-04  2.276521387614356e-04  1.033580293681806e-02  32   20  250
   23  2.276521387614356e-04  4.412350777869864e-04  1.092527817875175e-02  34    5   25
   24  4.412350777869864e-04  1.020413899408159e-03  1.113705034977643e-02  34    5   33
   25  1.020413899408159e-03  1.020413899408159e-03  1.161778510530845e-02  34    5   36
